NOMBRE,STREAM_PARAM,URL_COMPLETA
ESPN,espnmx,https://tvtvhd.com/vivo/canales.php?stream=espnmx
ESPN 2,espn2mx,https://tvtvhd.com/vivo/canales.php?stream=espn2mx
ESPN 3,espn3mx,https://tvtvhd.com/vivo/canales.php?stream=espn3mx
ESPN 4,espn4mx,https://tvtvhd.com/vivo/canales.php?stream=espn4mx
ESPN 5,espn5,https://tvtvhd.com/vivo/canales.php?stream=espn5
ESPN 6,espn6,https://tvtvhd.com/vivo/canales.php?stream=espn6
ESPN 7,espn7,https://tvtvhd.com/vivo/canales.php?stream=espn7
DSports,dsports,https://tvtvhd.com/vivo/canales.php?stream=dsports
DSports 2,dsports2,https://tvtvhd.com/vivo/canales.php?stream=dsports2
DSports Plus,dsportsplus,https://tvtvhd.com/vivo/canales.php?stream=dsportsplus
GO,golperu,https://tvtvhd.com/vivo/canales.php?stream=golperu
VTV Plus,vtvplus,https://tvtvhd.com/vivo/canales.php?stream=vtvplus
Fox Sports,foxsports,https://tvtvhd.com/vivo/canales.php?stream=foxsports
Fox Sports (MX),foxsportsmx,https://tvtvhd.com/vivo/canales.php?stream=foxsportsmx
Fox Sports 2,foxsports2mx,https://tvtvhd.com/vivo/canales.php?stream=foxsports2mx
Fox Sports 3,foxsports3mx,https://tvtvhd.com/vivo/canales.php?stream=foxsports3mx
TNT Sports,tntsports,https://tvtvhd.com/vivo/canales.php?stream=tntsports
ESPN Premium,espnpremium,https://tvtvhd.com/vivo/canales.php?stream=espnpremium
TyC Sports,tycsports,https://tvtvhd.com/vivo/canales.php?stream=tycsports
TyC Sports Internacional,tycinternacional,https://tvtvhd.com/vivo/canales.php?stream=tycinternacional
Telefe,telefe,https://tvtvhd.com/vivo/canales.php?stream=telefe
TV Pública,tvpublica,https://tvtvhd.com/vivo/canales.php?stream=tvpublica
Liga 1 MAX,liga1max,https://tvtvhd.com/vivo/canales.php?stream=liga1max
Movistar Deportes,movistar,https://tvtvhd.com/vivo/canales.php?stream=movistar
Win Sports Plus,winsportsplus,https://tvtvhd.com/vivo/canales.php?stream=winsportsplus
Win Sports plus (2),winsports2,https://tvtvhd.com/vivo/canales.php?stream=winsports2
Azteca 7,azteca7,https://tvtvhd.com/vivo/canales.php?stream=azteca7
Azteca Deportes,aztecadeportes,https://tvtvhd.com/vivo/canales.php?stream=aztecadeportes
BeIN Sports Español,beinsports_spanish,https://tvtvhd.com/vivo/canales.php?stream=beinsports_spanish
BeIN Sports Xtra Español,beinsports_xtra_spanish,https://tvtvhd.com/vivo/canales.php?stream=beinsports_xtra_spanish
CBS Sports Network,cbssports,https://tvtvhd.com/vivo/canales.php?stream=cbssports
Caliente TV,calientetv,https://tvtvhd.com/vivo/canales.php?stream=calientetv
Canal 11,canal11,https://tvtvhd.com/vivo/canales.php?stream=canal11
Canal 5,canal5,https://tvtvhd.com/vivo/canales.php?stream=canal5
DAZN 1,dazn1,https://tvtvhd.com/vivo/canales.php?stream=dazn1
DAZN 1 DE,dazn1de,https://tvtvhd.com/vivo/canales.php?stream=dazn1de
DAZN 2,dazn2,https://tvtvhd.com/vivo/canales.php?stream=dazn2
DAZN 2 DE,dazn2de,https://tvtvhd.com/vivo/canales.php?stream=dazn2de
DAZN 3,dazn3,https://tvtvhd.com/vivo/canales.php?stream=dazn3
DAZN 4,dazn4,https://tvtvhd.com/vivo/canales.php?stream=dazn4
DAZN LaLiga,dazn_laliga,https://tvtvhd.com/vivo/canales.php?stream=dazn_laliga
DSports,dsports,https://tvtvhd.com/vivo/canales.php?stream=dsports
DSports 2,dsports2_1,https://tvtvhd.com/vivo/canales.php?stream=dsports2_1
DSports Plus,dsportsplus_1,https://tvtvhd.com/vivo/canales.php?stream=dsportsplus_1
Dazn Eleven 1,dazn_eleven1,https://tvtvhd.com/vivo/canales.php?stream=dazn_eleven1
Dazn Eleven 2,dazn_eleven2,https://tvtvhd.com/vivo/canales.php?stream=dazn_eleven2
Dazn Eleven 3,dazn_eleven3,https://tvtvhd.com/vivo/canales.php?stream=dazn_eleven3
Dazn Eleven 4,dazn_eleven4,https://tvtvhd.com/vivo/canales.php?stream=dazn_eleven4
Dazn Eleven 5,dazn_eleven5,https://tvtvhd.com/vivo/canales.php?stream=dazn_eleven5
